state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty,total_crime_count,total_crime_rate,log_total_crime_rate
HI,2022,1369500,0.195,0.011,0.108,0.359,0.001,0.094,0.232,91010,0.08800000000000001,0.033,0.02,0.599,0.929,0.354,833701.3861,19.0,6.800000000000001,495.0,131.0,1059.0,1745.0,34.39,9.11,73.57,121.23,16000.0,235.0,37000.0,3430.0,238.3,5.477717994914328
HI,2021,1365100,0.196,0.013,0.109,0.375,0.0,0.097,0.209,82200,0.109,0.06,0.06,0.596,0.929,0.353,707129.0512,14.4,6.800000000000001,508.0,149.0,1133.0,1785.0,35.12,10.3,78.31,123.38,18000.0,235.0,41000.0,3575.0,247.11,5.513872196213571
HI,2020,1354050,0.2,0.0125,0.106,0.3845,0.0,0.0995,0.1965,80830,0.109,0.11800000000000001,0.026000000000000002,0.5920000000000001,0.9329999999999999,0.355,631796.4826,14.8,6.2,321.0,71.0,684.0,1023.0,22.12,4.89,47.14,70.5,16666.666666666668,235.0,35666.666666666664,2099.0,144.65,4.981206483405444
HI,2019,1343000,0.204,0.012,0.103,0.394,0.001,0.102,0.184,88010,0.084,0.025,0.009000000000000001,0.61,0.924,0.336,615234.3835,13.9,6.800000000000001,434.0,120.0,1173.0,1405.0,29.82,8.24,80.61,96.54,17000.0,260.0,36000.0,3132.0,215.21,5.376250157604459
HI,2018,1354800,0.206,0.015,0.105,0.379,0.0,0.096,0.199,80110,0.092,0.024,0.008,0.616,0.92,0.335,604315.8513,11.9,6.800000000000001,566.0,142.0,1182.0,1423.0,38.9,9.76,81.22,97.78,14000.0,234.0,35000.0,3313.0,227.66,5.432236184113824
ID,2022,1885200,0.793,0.005,0.135,0.013,0.008,0.002,0.043,72580,0.08199999999999999,0.027999999999999997,0.008,0.63,0.92,0.32299999999999995,471894.0142,22.4,11.7,5410.0,526.0,2917.0,3804.0,279.01,27.13,150.44,196.19,25000.0,167.0,61000.0,12657.0,652.77,6.4827556076454105
ID,2021,1865000,0.788,0.007,0.133,0.014,0.007,0.001,0.051,76920,0.09300000000000001,0.036000000000000004,0.013999999999999999,0.629,0.9129999999999999,0.307,412975.7518,19.4,13.2,5363.0,524.0,2835.0,3611.0,281.59,27.51,148.86,189.6,23000.0,167.0,60000.0,12333.0,647.56,6.4747545206794515
ID,2020,1807950,0.802,0.007,0.131,0.013000000000000001,0.008,0.0,0.0385,66730,0.091,0.055,0.009000000000000001,0.633,0.9129999999999999,0.309,309840.0819,26.3,6.9,4903.0,490.0,3070.0,3301.0,265.13,26.49,166.01,178.49,24000.0,167.0,64166.666666666664,11764.0,636.12,6.456958020875831
ID,2019,1750900,0.816,0.007,0.129,0.012,0.009,0.0,0.026,65990,0.071,0.028999999999999998,0.006,0.643,0.915,0.287,272612.0271,21.9,9.9,6083.0,444.0,3777.0,3482.0,330.75,24.14,205.37,189.33,20000.0,180.0,58000.0,13786.0,749.59,6.62085956393698
ID,2018,1719600,0.819,0.005,0.127,0.016,0.011,0.0,0.022,58730,0.115,0.028999999999999998,0.006,0.6409999999999999,0.909,0.27699999999999997,243811.1479,32.6,10.0,6959.0,594.0,4503.0,3895.0,378.39,32.29,244.84,211.79,26000.0,169.0,63000.0,15951.0,867.31,6.766548793757163
ID,2017,1682100,0.821,0.01,0.124,0.013,0.01,0.0,0.025,60210,0.11699999999999999,0.032,0.008,0.639,0.9079999999999999,0.268,218574.1772,23.9,5.1,6798.0,590.0,5171.0,3788.0,369.63,32.08,281.16,205.97,26000.0,169.0,67000.0,16347.0,888.84,6.791041671283774
ID,2016,1650700,0.825,0.01,0.123,0.014,0.011,0.0,0.02,56560,0.111,0.037000000000000005,0.011000000000000001,0.638,0.904,0.276,200402.8294,23.0,7.8,6338.0,608.0,5453.0,3872.0,344.62,33.06,296.5,210.54,24000.0,150.0,76000.0,16271.0,884.72,6.786400873569962
IL,2022,12296100,0.585,0.13,0.184,0.06,0.001,0.0,0.04,78020,0.095,0.046,0.021,0.6409999999999999,0.904,0.377,240521.7988,11.5,13.5,9411.0,2339.0,20298.0,33879.0,74.79,18.59,161.32,269.26,162000.0,3228.75,425000.0,65927.0,523.96,6.2633220692127916
IL,2021,12368800,0.59,0.132,0.181,0.057,0.001,0.0,0.039,79250,0.107,0.061,0.038,0.63,0.902,0.371,219795.7167,11.8,16.4,6741.0,1501.0,12794.0,21120.0,53.12,11.83,100.82,166.42,175000.0,3228.75,442000.0,42156.0,332.18999999999994,5.808712897837516
IL,2020,12365550,0.5994999999999999,0.134,0.1785,0.0565,0.001,0.005,0.0305,74330,0.08,0.09300000000000001,0.021,0.626,0.904,0.376,198998.1355,12.1,15.9,346.0,63.0,1131.0,1228.0,2.71,0.49,8.84,9.6,165500.0,3228.75,459666.6666666667,2768.0,21.64,3.119718253334982
IL,2019,12362300,0.609,0.136,0.176,0.056,0.001,0.01,0.022,74400,0.09300000000000001,0.04,0.016,0.6459999999999999,0.898,0.358,192383.4331,10.5,9.5,457.0,92.0,1216.0,1349.0,3.56,0.72,9.49,10.53,156000.0,3083.0,436000.0,3114.0,24.299999999999997,3.2308043957334744
IL,2018,12438400,0.61,0.136,0.175,0.056,0.01,0.01,0.022,70150,0.10300000000000001,0.044000000000000004,0.018000000000000002,0.647,0.895,0.35100000000000003,187366.3672,10.6,11.8,457.0,90.0,1431.0,1480.0,3.56,0.7,11.17,11.55,154000.0,3162.0,457000.0,3458.0,26.98,3.331489969237335
IL,2017,12496600,0.613,0.137,0.174,0.054,0.01,0.0,0.021,64610,0.109,0.05,0.023,0.647,0.8909999999999999,0.344,179393.3113,12.6,13.2,367.0,113.0,1409.0,1568.0,2.86,0.89,11.0,12.24,177000.0,3264.0,486000.0,3457.0,26.990000000000002,3.331847303527362
IL,2016,12491200,0.618,0.137,0.171,0.053,0.01,0.01,0.019,61390,0.121,0.059000000000000004,0.03,0.653,0.888,0.34,171464.995,10.1,11.7,339.0,106.0,1589.0,1749.0,2.64,0.82,12.4,13.65,169000.0,3406.0,512000.0,3783.0,29.509999999999998,3.418054498728578
IN,2022,6639400,0.761,0.091,0.078,0.025,0.001,0.0,0.044,70030,0.10400000000000001,0.031,0.01,0.632,0.902,0.29600000000000004,220388.4363,13.7,22.2,10750.0,1892.0,9957.0,15088.0,157.35,27.7,145.74,220.83,90000.0,1808.5,243000.0,37687.0,551.62,6.314670604378717
