State,Offender Age,Data Year,Count:  Crimes Against Society,Count:  Fraud and Other Financial Crimes,Count:  Property Crime,Count:  Violent Crime,Rate:  Crimes Against Society,Rate:  Fraud and Other Financial Crimes,Rate:  Property Crime,Rate:  Violent Crime
SC,15-24,2019,16855,2875,17681,18709,329.3,56.17,345.44,365.52
SC,15-24,2020,15414,2334,15672,17018,300.34,45.48,305.37,331.6
SC,15-24,2021,15843,2310,13382,17338,305.03,44.48,257.65,333.82
SC,15-24,2022,16129,2354,13371,17465,305.3,44.56,253.1,330.59
SD,15-24,2016,4666,556,3862,2741,526.24,62.7,435.56,309.13
SD,15-24,2017,4637,575,3362,2610,522.97,64.85,379.17,294.36
SD,15-24,2018,4569,611,2928,2695,515.3,68.91,330.22,303.95
SD,15-24,2019,4311,570,2807,2798,486.21,64.28,316.58,315.56
SD,15-24,2020,3669,494,2719,2880,413.25,55.64,306.24,324.37
SD,15-24,2021,3151,414,1911,2982,351.55,46.19,213.21,332.71
SD,15-24,2022,2819,324,2223,2925,309.83,35.6,244.33,321.48
TN,15-24,2016,25436,4957,30504,36873,368.07,71.73,441.4,533.55
TN,15-24,2017,26031,4644,30650,35517,376.67,67.2,443.51,513.94
TN,15-24,2018,24965,4325,28558,33499,361.25,62.58,413.24,484.73
TN,15-24,2019,21493,4025,26425,30888,311.01,58.25,382.37,446.96
TN,15-24,2020,18258,3129,23150,27583,263.61,45.18,334.24,398.25
TN,15-24,2021,18923,3050,19284,27773,271.73,43.8,276.92,398.83
TN,15-24,2022,18562,3142,19230,27284,263.33,44.58,272.81,387.06
TX,15-24,2016,12644,1855,16343,12473,43.38,6.37,56.08,42.79
TX,15-24,2017,17290,2298,19456,17350,59.32,7.89,66.75,59.53
TX,15-24,2018,28615,4407,39331,41274,98.18,15.12,134.95,141.61
TX,15-24,2019,41287,6757,56533,62550,141.66,23.19,193.97,214.61
TX,15-24,2020,48153,7119,62111,78990,164.72,24.35,212.46,270.2
TX,15-24,2021,62370,8178,65165,97598,210.99,27.66,220.44,330.15
TX,15-24,2022,64713,8841,66307,96309,215.49,29.44,220.81,320.71
UT,15-24,2016,9953,1062,10082,6426,304.23,32.46,308.17,196.42
UT,15-24,2017,10517,1031,9108,6143,321.46,31.51,278.39,187.77
UT,15-24,2018,10268,907,8303,6347,313.85,27.73,253.79,194.0
UT,15-24,2019,8508,842,8073,6121,260.05,25.74,246.76,187.09
UT,15-24,2020,7942,641,7291,5984,241.84,19.52,222.02,182.22
UT,15-24,2021,8745,710,7259,6977,261.88,21.26,217.38,208.94
UT,15-24,2022,9000,737,7286,7096,266.18,21.8,215.49,209.86
VA,15-24,2016,26922,5383,29616,26498,311.9,62.37,343.12,307.0
VA,15-24,2017,28344,5120,26466,24681,328.38,59.32,306.63,285.94
VA,15-24,2018,28969,4559,23847,23824,335.62,52.82,276.28,276.02
VA,15-24,2019,26391,4333,22192,22644,305.75,50.2,257.11,262.35
VA,15-24,2020,19440,3296,17198,19325,225.07,38.16,199.12,223.75
VA,15-24,2021,10885,2933,14746,19332,125.73,33.88,170.33,223.3
