state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,offender_age,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty
FL,2020,0,0.0,0,0.0,0.0,0,0,0.0,57760,13.3,8.2,1.9,57.6,89.6,33.7,255509.333,12.7,15.9,,,,,,,,,,,,
FL,2019,20992000,0.53,0.15,0.266,0.027,0.002,0.001,0.024,58370,11.5,3.3,1.3,59.4,88.4,30.7,241243.1872,12.0,11.5,,,,,,,,,,249000.0,2592.0,737000.0
FL,2018,20843500,0.533,0.151,0.263,0.027,<.01,<.01,0.024,54640,13.7,3.7,1.5,59.3,88.5,30.4,229287.1644,12.1,10.0,,,,,,,,,,268000.0,1858.0,819000.0
FL,2017,20532300,0.539,0.151,0.258,0.028,<.01,<.01,0.023,53680,13.7,4.3,2.0,59.3,88.4,29.7,213056.9819,11.8,12.3,,,,,,,,,,266000.0,2080.0,840000.0
FL,2016,20144000,0.547,0.151,0.251,0.027,<.01,<.01,0.022,51180,13.0,4.9,2.5,59.2,87.4,28.6,197113.9598,10.7,14.2,,,,,,,,,,267000.0,2035.0,859000.0
GA,2022,10609800,0.498,0.306,0.104,0.044,0.001,0.001,0.047,67730,11.7,3.1,1.5,61.5,89.5,34.7,306191.9454,15.0,13.3,15-24,14910.0,3909.0,19304.0,23865.0,136.63,35.82,176.88,218.68,162000.0,,411000.0
GA,2021,10478300,0.503,0.303,0.1,0.043,0.002,0,0.048,61500,14.0,3.9,2.3,61.6,89.0,34.6,254243.6412,17.9,13.4,15-24,14647.0,3324.0,18517.0,22623.0,135.74,30.8,171.61,209.66,175000.0,,502000.0
GA,2020,0,0.0,0,0.0,0.0,0,0,0.0,59270,13.3,6.5,1.7,61.3,89.3,34.8,215181.106,15.6,9.8,15-24,10619.0,2493.0,16097.0,17769.0,98.94,23.23,149.98,165.57,,,
GA,2019,10294000,0.52,0.313,0.098,0.041,0.002,0.001,0.025,56630,12.1,3.6,1.5,63.0,87.9,32.5,200421.846,13.7,5.8,15-24,3551.0,681.0,4896.0,4421.0,33.15,6.36,45.7,41.26,169000.0,1381.0,461000.0
GA,2018,10212800,0.525,0.309,0.097,0.041,<.01,<.01,0.025,55820,14.8,4.0,1.7,63.3,87.6,31.9,186666.2804,14.1,6.3,15-24,85.0,7.0,42.0,31.0,0.79,0.07,0.39,0.29,166000.0,1400.0,505000.0
GA,2017,10121400,0.529,0.309,0.096,0.04,<.01,,0.024,57020,13.3,4.8,2.2,63.9,87.0,30.9,171820.303,13.5,8.7,,,,,,,,,,172000.0,1388.0,519000.0
GA,2016,10001000,0.534,0.308,0.094,0.038,<.01,<.01,0.023,53530,15.4,5.5,2.7,62.4,86.4,30.5,161439.0559,14.8,7.2,,,,,,,,,,167000.0,1311.0,566000.0
HI,2022,1369500,0.195,0.011,0.108,0.359,0.001,0.094,0.232,91010,8.8,3.3,2.0,59.9,92.9,35.4,833701.3861,19.0,,15-24,495.0,131.0,1059.0,1745.0,34.39,9.11,73.57,121.23,16000.0,,37000.0
HI,2021,1365100,0.196,0.013,0.109,0.375,,0.097,0.209,82200,10.9,6.0,6.0,59.6,92.9,35.3,707129.0512,14.4,,15-24,508.0,149.0,1133.0,1785.0,35.12,10.3,78.31,123.38,18000.0,,41000.0
HI,2020,0,0.0,0,0.0,0.0,0,0,0.0,80830,10.9,11.8,2.6,59.2,93.3,35.5,631796.4826,14.8,6.2,15-24,321.0,71.0,684.0,1023.0,22.12,4.89,47.14,70.5,,,
HI,2019,1343000,0.204,0.012,0.103,0.394,0.001,0.102,0.184,88010,8.4,2.5,0.9,61.0,92.4,33.6,615234.3835,13.9,,15-24,434.0,120.0,1173.0,1405.0,29.82,8.24,80.61,96.54,17000.0,260.0,36000.0
HI,2018,1354800,0.206,0.015,0.105,0.379,,0.096,0.199,80110,9.2,2.4,0.8,61.6,92.0,33.5,604315.8513,11.9,,15-24,566.0,142.0,1182.0,1423.0,38.9,9.76,81.22,97.78,14000.0,234.0,35000.0
HI,2017,1356100,0.207,0.01,0.102,0.382,<.01,0.096,0.203,73580,10.3,2.2,0.9,62.0,92.3,32.9,575458.593,19.3,,,,,,,,,,,17000.0,236.0,34000.0
HI,2016,1364600,0.211,0.013,0.102,0.376,,0.095,0.202,72130,9.3,2.9,1.3,62.1,92.0,31.9,544047.1761,17.6,7.4,,,,,,,,,,18000.0,210.0,31000.0
ID,2022,1885200,0.793,0.005,0.135,0.013,0.008,0.002,0.043,72580,8.2,2.8,0.8,63.0,92.0,32.3,471894.0142,22.4,11.7,15-24,5410.0,526.0,2917.0,3804.0,279.01,27.13,150.44,196.19,25000.0,,61000.0
ID,2021,1865000,0.788,0.007,0.133,0.014,0.007,0.001,0.051,76920,9.3,3.6,1.4,62.9,91.3,30.7,412975.7518,19.4,13.2,15-24,5363.0,524.0,2835.0,3611.0,281.59,27.51,148.86,189.6,23000.0,,60000.0
ID,2020,0,0.0,0,0.0,0.0,0,0,0.0,66730,9.1,5.5,0.9,63.3,91.3,30.9,309840.0819,26.3,6.9,15-24,4903.0,490.0,3070.0,3301.0,265.13,26.49,166.01,178.49,,,
ID,2019,1750900,0.816,0.007,0.129,0.012,0.009,,0.026,65990,7.1,2.9,0.6,64.3,91.5,28.7,272612.0271,21.9,9.9,15-24,6083.0,444.0,3777.0,3482.0,330.75,24.14,205.37,189.33,20000.0,180.0,58000.0
ID,2018,1719600,0.819,0.005,0.127,0.016,0.011,,0.022,58730,11.5,2.9,0.6,64.1,90.9,27.7,243811.1479,32.6,10.0,15-24,6959.0,594.0,4503.0,3895.0,378.39,32.29,244.84,211.79,26000.0,169.0,63000.0
ID,2017,1682100,0.821,0.01,0.124,0.013,0.01,,0.025,60210,11.7,3.2,0.8,63.9,90.8,26.8,218574.1772,23.9,5.1,15-24,6798.0,590.0,5171.0,3788.0,369.63,32.08,281.16,205.97,26000.0,169.0,67000.0
ID,2016,1650700,0.825,0.01,0.123,0.014,0.011,,0.02,56560,11.1,3.7,1.1,63.8,90.4,27.6,200402.8294,23.0,7.8,15-24,6338.0,608.0,5453.0,3872.0,344.62,33.06,296.5,210.54,24000.0,150.0,76000.0
IL,2022,12296100,0.585,0.13,0.184,0.06,0.001,0,0.04,78020,9.5,4.6,2.1,64.1,90.4,37.7,240521.7988,11.5,13.5,15-24,9411.0,2339.0,20298.0,33879.0,74.79,18.59,161.32,269.26,162000.0,,425000.0
IL,2021,12368800,0.59,0.132,0.181,0.057,0.001,0,0.039,79250,10.7,6.1,3.8,63.0,90.2,37.1,219795.7167,11.8,16.4,15-24,6741.0,1501.0,12794.0,21120.0,53.12,11.83,100.82,166.42,175000.0,,442000.0
IL,2020,0,0.0,0,0.0,0.0,0,0,0.0,74330,8.0,9.3,2.1,62.6,90.4,37.6,198998.1355,12.1,15.9,15-24,346.0,63.0,1131.0,1228.0,2.71,0.49,8.84,9.6,,,
IL,2019,12362300,0.609,0.136,0.176,0.056,0.001,<.01,0.022,74400,9.3,4.0,1.6,64.6,89.8,35.8,192383.4331,10.5,9.5,15-24,457.0,92.0,1216.0,1349.0,3.56,0.72,9.49,10.53,156000.0,3083.0,436000.0
IL,2018,12438400,0.61,0.136,0.175,0.056,<.01,<.01,0.022,70150,10.3,4.4,1.8,64.7,89.5,35.1,187366.3672,10.6,11.8,15-24,457.0,90.0,1431.0,1480.0,3.56,0.7,11.17,11.55,154000.0,3162.0,457000.0
IL,2017,12496600,0.613,0.137,0.174,0.054,<.01,,0.021,64610,10.9,5.0,2.3,64.7,89.1,34.4,179393.3113,12.6,13.2,15-24,367.0,113.0,1409.0,1568.0,2.86,0.89,11.0,12.24,177000.0,3264.0,486000.0
IL,2016,12491200,0.618,0.137,0.171,0.053,<.01,<.01,0.019,61390,12.1,5.9,3.0,65.3,88.8,34.0,171464.995,10.1,11.7,15-24,339.0,106.0,1589.0,1749.0,2.64,0.82,12.4,13.65,169000.0,3406.0,512000.0
IN,2022,6639400,0.761,0.091,0.078,0.025,0.001,0,0.044,70030,10.4,3.1,1.0,63.2,90.2,29.6,220388.4363,13.7,22.2,15-24,10750.0,1892.0,9957.0,15088.0,157.35,27.7,145.74,220.83,90000.0,,243000.0
IN,2021,6601300,0.767,0.086,0.077,0.023,0.001,,0.045,70190,10.4,3.9,2.0,62.8,90.6,28.9,194269.7895,18.3,25.0,15-24,11391.0,1513.0,9823.0,14324.0,167.17,22.2,144.17,210.22,96000.0,,249000.0
IN,2020,0,0.0,0,0.0,0.0,0,0,0.0,66810,12.1,7.4,1.3,63.0,90.2,28.9,168872.5999,16.1,21.4,15-24,8068.0,1368.0,8913.0,11082.0,118.84,20.15,131.29,163.23,,,
